id,lh_G&S_frontomargin_thickness,lh_G&S_occipital_inf_thickness,lh_G&S_paracentral_thickness,lh_G&S_subcentral_thickness,lh_G&S_transv_frontopol_thickness,lh_G&S_cingul-Ant_thickness,lh_G&S_cingul-Mid-Ant_thickness,lh_G&S_cingul-Mid-Post_thickness,lh_G_cingul-Post-dorsal_thickness,lh_G_cingul-Post-ventral_thickness,lh_G_cuneus_thickness,lh_G_front_inf-Opercular_thickness,lh_G_front_inf-Orbital_thickness,lh_G_front_inf-Triangul_thickness,lh_G_front_middle_thickness,lh_G_front_sup_thickness,lh_G_Ins_lg&S_cent_ins_thickness,lh_G_insular_short_thickness,lh_G_occipital_middle_thickness,lh_G_occipital_sup_thickness,lh_G_oc-temp_lat-fusifor_thickness,lh_G_oc-temp_med-Lingual_thickness,lh_G_oc-temp_med-Parahip_thickness,lh_G_orbital_thickness,lh_G_pariet_inf-Angular_thickness,lh_G_pariet_inf-Supramar_thickness,lh_G_parietal_sup_thickness,lh_G_postcentral_thickness,lh_G_precentral_thickness,lh_G_precuneus_thickness,lh_G_rectus_thickness,lh_G_subcallosal_thickness,lh_G_temp_sup-G_T_transv_thickness,lh_G_temp_sup-Lateral_thickness,lh_G_temp_sup-Plan_polar_thickness,lh_G_temp_sup-Plan_tempo_thickness,lh_G_temporal_inf_thickness,lh_G_temporal_middle_thickness,lh_Lat_Fis-ant-Horizont_thickness,lh_Lat_Fis-ant-Vertical_thickness,lh_Lat_Fis-post_thickness,lh_Pole_occipital_thickness,lh_Pole_temporal_thickness,lh_S_calcarine_thickness,lh_S_central_thickness,lh_S_cingul-Marginalis_thickness,lh_S_circular_insula_ant_thickness,lh_S_circular_insula_inf_thickness,lh_S_circular_insula_sup_thickness,lh_S_collat_transv_ant_thickness,lh_S_collat_transv_post_thickness,lh_S_front_inf_thickness,lh_S_front_middle_thickness,lh_S_front_sup_thickness,lh_S_interm_prim-Jensen_thickness,lh_S_intrapariet&P_trans_thickness,lh_S_oc_middle&Lunatus_thickness,lh_S_oc_sup&transversal_thickness,lh_S_occipital_ant_thickness,lh_S_oc-temp_lat_thickness,lh_S_oc-temp_med&Lingual_thickness,lh_S_orbital_lateral_thickness,lh_S_orbital_med-olfact_thickness,lh_S_orbital-H_Shaped_thickness,lh_S_parieto_occipital_thickness,lh_S_pericallosal_thickness,lh_S_postcentral_thickness,lh_S_precentral-inf-part_thickness,lh_S_precentral-sup-part_thickness,lh_S_suborbital_thickness,lh_S_subparietal_thickness,lh_S_temporal_inf_thickness,lh_S_temporal_sup_thickness,lh_S_temporal_transverse_thickness,rh_G&S_frontomargin_thickness,rh_G&S_occipital_inf_thickness,rh_G&S_paracentral_thickness,rh_G&S_subcentral_thickness,rh_G&S_transv_frontopol_thickness,rh_G&S_cingul-Ant_thickness,rh_G&S_cingul-Mid-Ant_thickness,rh_G&S_cingul-Mid-Post_thickness,rh_G_cingul-Post-dorsal_thickness,rh_G_cingul-Post-ventral_thickness,rh_G_cuneus_thickness,rh_G_front_inf-Opercular_thickness,rh_G_front_inf-Orbital_thickness,rh_G_front_inf-Triangul_thickness,rh_G_front_middle_thickness,rh_G_front_sup_thickness,rh_G_Ins_lg&S_cent_ins_thickness,rh_G_insular_short_thickness,rh_G_occipital_middle_thickness,rh_G_occipital_sup_thickness,rh_G_oc-temp_lat-fusifor_thickness,rh_G_oc-temp_med-Lingual_thickness,rh_G_oc-temp_med-Parahip_thickness,rh_G_orbital_thickness,rh_G_pariet_inf-Angular_thickness,rh_G_pariet_inf-Supramar_thickness,rh_G_parietal_sup_thickness,rh_G_postcentral_thickness,rh_G_precentral_thickness,rh_G_precuneus_thickness,rh_G_rectus_thickness,rh_G_subcallosal_thickness,rh_G_temp_sup-G_T_transv_thickness,rh_G_temp_sup-Lateral_thickness,rh_G_temp_sup-Plan_polar_thickness,rh_G_temp_sup-Plan_tempo_thickness,rh_G_temporal_inf_thickness,rh_G_temporal_middle_thickness,rh_Lat_Fis-ant-Horizont_thickness,rh_Lat_Fis-ant-Vertical_thickness,rh_Lat_Fis-post_thickness,rh_Pole_occipital_thickness,rh_Pole_temporal_thickness,rh_S_calcarine_thickness,rh_S_central_thickness,rh_S_cingul-Marginalis_thickness,rh_S_circular_insula_ant_thickness,rh_S_circular_insula_inf_thickness,rh_S_circular_insula_sup_thickness,rh_S_collat_transv_ant_thickness,rh_S_collat_transv_post_thickness,rh_S_front_inf_thickness,rh_S_front_middle_thickness,rh_S_front_sup_thickness,rh_S_interm_prim-Jensen_thickness,rh_S_intrapariet&P_trans_thickness,rh_S_oc_middle&Lunatus_thickness,rh_S_oc_sup&transversal_thickness,rh_S_occipital_ant_thickness,rh_S_oc-temp_lat_thickness,rh_S_oc-temp_med&Lingual_thickness,rh_S_orbital_lateral_thickness,rh_S_orbital_med-olfact_thickness,rh_S_orbital-H_Shaped_thickness,rh_S_parieto_occipital_thickness,rh_S_pericallosal_thickness,rh_S_postcentral_thickness,rh_S_precentral-inf-part_thickness,rh_S_precentral-sup-part_thickness,rh_S_suborbital_thickness,rh_S_subparietal_thickness,rh_S_temporal_inf_thickness,rh_S_temporal_sup_thickness,rh_S_temporal_transverse_thickness
101,2.094,2.037,2.373,2.544,2.47,2.703,2.543,2.366,2.687,2.306,1.807,2.718,2.466,2.623,2.621,2.771,3.172,3.242,2.391,2.316,2.702,1.882,3.186,2.554,2.343,2.676,2.269,2.27,2.732,2.428,2.694,2.144,2.607,3.174,2.99,2.363,2.844,2.838,1.899,2.268,2.46,1.905,3.352,1.752,1.984,2.12,2.675,2.525,2.514,2.553,2.16,2.175,2.331,2.518,2.253,2.106,2.027,2.179,2.213,2.748,2.436,2.009,2.299,2.396,2.234,2.022,2.222,2.428,2.394,2.657,2.277,2.414,2.445,2.68,2.03,2.301,2.587,2.522,2.413,2.529,2.682,2.514,2.726,2.424,2.037,2.51,2.481,2.601,2.624,2.933,3.021,2.977,2.662,2.174,2.67,2.076,2.947,2.392,2.393,2.499,2.282,2.147,2.778,2.408,2.618,2.669,2.516,2.897,3.221,2.381,2.779,2.739,2.263,2.098,2.372,2.006,2.924,1.829,1.976,2.145,2.676,2.554,2.343,2.362,2.164,2.198,2.069,2.37,2.325,2.17,2.368,2.234,2.067,2.326,2.369,1.792,2.001,2.487,2.202,1.872,2.035,2.468,2.64,2.197,2.41,2.411,2.347,2.56
102,2.679,2.57,2.491,2.837,2.888,2.934,2.832,2.61,2.987,2.61,1.967,2.992,2.878,2.913,2.936,3.173,3.18,3.801,2.797,2.541,2.932,2.057,3.35,2.894,2.793,2.832,2.521,2.545,2.983,2.644,2.679,2.351,2.77,3.429,3.685,3.128,2.99,3.084,2.087,2.595,2.673,2.008,3.623,2.103,2.15,2.276,2.989,2.68,2.659,2.641,1.98,2.431,2.25,2.739,2.904,2.43,2.22,2.251,2.354,2.77,2.556,3.014,2.108,2.687,2.313,2.214,2.401,2.587,2.592,2.62,2.199,2.758,2.616,2.707,2.463,2.489,2.405,2.887,2.882,2.747,2.746,2.701,2.928,2.911,2.012,2.881,2.84,3.085,2.825,3.108,3.401,3.251,2.802,2.604,3.018,2.256,3.277,2.872,2.958,2.886,2.528,2.335,2.965,2.756,2.783,1.974,2.704,3.284,3.548,2.599,3.309,3.036,2.302,2.303,2.539,2.164,3.457,2.235,2.083,2.41,2.982,2.496,2.646,2.656,2.174,2.401,2.26,2.513,2.362,2.409,2.365,2.415,2.512,2.628,2.612,2.189,2.028,2.649,2.454,2.33,2.24,2.656,2.361,2.736,2.413,2.713,2.648,2.603
103,2.39,2.195,2.46,2.724,2.525,2.713,2.643,2.534,2.856,2.49,1.899,2.779,2.679,2.606,2.61,2.819,2.938,3.591,2.472,2.166,2.861,2.033,3.087,2.399,2.594,2.695,2.426,2.302,2.963,2.633,2.327,2.417,2.389,3.119,3.513,2.48,2.755,2.818,2.161,2.74,2.266,1.818,3.213,1.866,2.101,2.203,2.754,2.643,2.616,2.636,2.168,2.324,2.128,2.449,2.361,2.131,2.039,2.078,2.277,2.343,2.508,2.025,2.192,2.505,2.206,2.152,2.237,2.487,2.48,2.379,2.198,2.629,2.397,2.246,2.421,2.284,2.415,2.679,2.576,2.766,2.741,2.758,3.007,2.689,1.991,2.923,2.999,2.577,2.671,2.881,3.051,3.601,2.535,2.294,2.978,2.111,3.221,2.643,2.725,2.672,2.437,2.225,2.837,2.505,2.3,2.276,2.622,3.095,3.056,2.729,2.982,3.082,2.175,2.275,2.388,1.906,3.377,2.08,1.917,2.381,2.701,2.71,2.656,2.699,2.221,2.158,2.191,2.447,2.092,2.255,2.132,2.177,2.398,2.381,2.549,2.027,2.313,2.578,2.366,2.002,2.194,2.529,2.296,2.144,2.295,2.527,2.556,2.59
104,2.228,2.436,2.598,2.616,2.806,2.508,2.625,2.561,2.828,2.6,1.921,2.842,2.628,2.694,2.539,2.854,3.045,3.457,2.517,2.194,2.952,2.04,2.889,2.67,2.847,2.591,2.48,2.307,2.946,2.455,2.455,2.249,2.744,3.009,3.435,2.518,2.76,2.82,2.139,2.241,2.316,2.215,3.239,2.059,2.046,2.256,2.771,2.67,2.626,2.661,2.17,2.264,2.252,2.455,2.29,2.233,2.114,2.067,2.541,2.476,2.501,2.049,2.061,2.492,2.415,1.67,2.255,2.644,2.594,2.378,2.287,2.591,2.569,2.292,2.282,2.598,2.534,2.9,2.632,2.516,2.481,2.579,2.908,2.502,1.829,2.591,3.094,2.789,2.75,2.904,3.351,3.182,2.593,2.495,2.927,1.939,3.204,2.558,2.675,2.753,2.509,2.4,2.981,2.524,2.405,2.834,2.623,3.079,3.366,2.622,2.969,2.826,2.399,2.142,2.428,2.167,3.426,2.036,2.178,2.189,2.916,2.573,2.652,2.715,2.203,2.343,2.179,2.415,2.216,2.19,2.305,2.186,2.422,2.508,2.375,2.431,2.121,2.463,2.32,1.765,2.268,2.41,2.588,2.365,2.501,2.51,2.531,2.777
105,2.632,2.4,2.356,2.412,2.371,2.775,2.528,2.527,2.942,2.768,1.884,2.553,2.366,2.46,2.598,2.749,2.857,3.717,2.43,2.248,2.667,1.832,2.918,2.463,2.64,2.535,2.412,2.247,2.809,2.596,2.491,2.26,1.89,2.731,3.104,2.296,2.742,2.899,1.888,2.211,2.262,1.905,3.262,1.768,1.766,2.183,2.723,2.904,2.684,2.564,1.827,2.187,2.187,2.299,2.664,2.349,2.186,2.282,2.134,2.39,2.311,2.183,2.297,2.463,2.107,2.026,2.209,2.496,2.501,2.207,2.321,2.615,2.406,1.983,2.335,2.546,2.378,2.496,2.587,2.72,2.706,2.319,2.798,2.513,1.757,2.35,2.521,2.533,2.628,2.676,2.674,3.198,2.651,2.154,2.588,2.056,3.072,2.505,2.742,2.652,2.375,1.974,2.822,2.456,2.286,2.129,2.027,2.774,3.151,2.742,2.69,2.917,2.013,2.401,2.254,2.041,3.091,1.948,1.81,2.125,2.622,2.704,2.549,2.608,1.946,2.221,2.377,2.402,2.822,2.16,2.191,2.211,2.61,2.337,2.477,2.148,1.99,2.676,2.197,1.98,2.047,2.423,2.44,2.686,2.463,2.578,2.626,2.127
106,2.191,2.364,2.427,2.914,2.482,2.715,2.877,2.597,2.664,2.638,1.957,2.882,2.813,2.683,2.686,2.909,3.045,3.441,2.466,2.237,2.704,1.858,3.201,2.794,2.7,2.803,2.486,2.417,2.94,2.561,2.605,2.278,2.041,2.898,3.24,2.811,3.037,2.975,2.498,2.725,2.436,1.955,3.187,1.826,2.162,2.247,2.558,2.736,2.685,2.472,2.262,2.387,2.231,2.424,2.391,2.186,2.254,2.159,2.298,2.285,2.395,2.23,2.246,2.573,2.239,1.804,2.284,2.567,2.678,2.166,2.298,2.655,2.624,2.246,2.234,2.166,2.477,2.887,2.315,2.615,2.818,2.606,2.888,2.51,1.721,2.871,3.074,2.55,2.657,2.848,2.765,3.56,2.585,2.218,2.818,2.06,3.066,2.858,2.827,2.893,2.423,2.434,2.959,2.357,2.649,2.749,2.386,3.079,3.367,2.745,2.742,3.089,2.217,2.594,2.649,1.864,3.338,2.108,2.108,2.366,2.685,2.633,2.684,2.511,2.031,2.269,2.142,2.404,2.6,2.225,2.399,2.314,2.448,2.331,2.33,2.238,2.248,2.682,2.321,2.043,2.32,2.389,2.427,2.24,2.484,2.608,2.619,2.058
107,3.149,2.434,2.522,3.019,3.177,2.711,2.672,2.632,2.836,2.874,1.725,2.783,2.437,2.881,2.809,2.885,3.415,3.932,2.511,2.174,2.95,1.942,3.227,2.63,2.689,2.913,2.452,2.208,2.872,2.566,2.355,1.738,2.54,3.004,3.368,2.59,2.896,3.134,1.966,2.659,2.259,2.016,3.534,1.895,1.972,2.155,2.89,2.833,2.62,2.684,1.814,2.367,2.41,2.558,2.37,2.086,2.133,2.076,2.268,2.573,2.435,2.209,2.477,2.758,1.99,1.8,2.216,2.577,2.558,2.39,2.356,2.481,2.469,2.231,2.427,2.545,2.284,2.886,2.519,2.863,2.882,2.78,2.846,2.878,1.821,2.725,2.748,2.586,2.762,3.022,3.084,3.39,2.506,2.386,2.774,2.197,3.09,2.776,2.72,2.864,2.376,2.153,2.825,2.533,2.623,2.369,2.549,3.088,3.269,2.76,2.829,3.308,2.2,2.314,2.303,1.947,3.69,1.885,1.884,2.243,2.523,2.46,2.663,2.865,2.268,2.399,2.264,2.364,2.167,2.244,2.2,1.982,2.456,2.835,2.537,1.868,2.333,2.59,2.075,2.02,2.215,2.518,2.408,2.359,2.261,2.725,2.533,2.978
108,2.205,2.303,2.501,2.793,2.51,2.495,2.503,2.388,2.965,2.635,1.808,2.504,2.921,2.572,2.581,2.827,2.972,3.398,2.402,2.085,2.857,2.006,2.937,2.516,2.414,2.596,2.331,2.293,2.902,2.587,2.471,2.011,2.695,3.112,3.578,2.404,3.045,3.102,2.058,2.19,2.566,1.905,3.53,1.937,2.082,2.221,2.806,2.602,2.527,2.819,1.925,2.178,2.17,2.363,2.461,2.158,2.021,2.106,2.147,2.509,2.322,1.976,2.316,2.561,2.135,1.789,2.324,2.33,2.388,1.922,2.478,2.521,2.471,2.32,2.278,2.405,2.602,2.631,2.51,2.526,2.542,2.522,2.983,2.632,1.842,2.692,2.645,2.499,2.434,2.82,3.187,3.337,2.616,2.122,2.792,2.116,3.036,2.66,2.769,2.748,2.342,2.236,2.978,2.608,2.177,2.2,2.655,3.111,2.907,2.737,3.083,3.042,2.523,2.545,2.483,1.783,3.257,1.913,2.021,2.353,2.83,2.558,2.559,2.759,2.027,2.135,1.929,2.336,2.422,2.252,1.913,2.234,2.119,2.524,2.521,1.784,2.054,2.512,1.993,1.621,2.141,2.422,2.541,2.583,2.535,2.655,2.486,2.588
109,2.558,2.503,2.301,2.706,2.65,2.671,2.667,2.509,2.748,2.035,1.887,2.763,2.637,2.629,2.568,2.77,3.254,3.301,2.478,2.022,2.857,2.162,2.854,2.645,2.581,2.684,2.208,2.272,2.814,2.431,2.278,2.257,2.555,3.152,3.531,2.511,2.784,2.881,2.12,2.737,2.332,1.997,3.171,1.796,2.066,2.112,2.717,2.814,2.616,2.428,1.91,2.149,2.048,2.389,2.763,2.206,2,2.2,2.401,2.506,2.509,2.124,2.16,2.593,2.262,1.656,2.233,2.562,2.327,2.436,2.295,2.567,2.466,2.208,2.221,2.442,2.402,2.926,2.276,2.59,2.669,2.549,2.833,2.455,1.802,2.756,2.887,2.597,2.576,2.779,3.027,3.417,2.682,2.158,2.683,1.947,2.904,2.554,2.578,2.606,2.244,2.379,2.725,2.342,2.371,2.588,2.534,2.898,2.728,2.592,2.624,2.95,2.184,2.423,2.301,1.989,3.355,1.944,2.22,2.265,2.85,2.691,2.56,2.755,2.204,2.253,2.179,2.337,2.182,2.095,2.139,2.198,2.308,2.593,2.317,2.077,2.164,2.481,2.211,1.626,2.299,2.547,2.422,2.163,2.344,2.634,2.526,2.502
110,2.431,2.356,2.431,2.739,2.395,2.63,2.639,2.5,2.855,2.813,1.561,2.728,3.024,2.654,2.637,2.751,2.951,3.313,2.365,1.863,2.679,1.921,3.183,2.602,2.694,2.85,2.446,2.321,2.822,2.624,2.441,2.779,2.447,3.08,3.052,2.657,2.846,3.082,2.014,2.55,2.369,1.969,2.801,1.879,1.986,2.378,2.742,2.958,2.739,2.669,1.746,2.224,2.188,2.377,2.35,2.186,2.079,1.966,2.37,2.242,2.489,2.284,2.046,2.761,1.912,1.941,2.3,2.461,2.358,1.905,2.441,2.592,2.479,2.104,2.262,2.408,2.414,2.885,2.615,2.729,2.808,2.671,2.929,2.898,1.704,2.766,3.025,2.677,2.561,2.843,3.368,3.208,2.635,2.035,2.634,2.014,3.172,2.729,2.711,2.645,2.545,2.27,2.755,2.618,2.53,2.729,2.437,3.017,3.156,2.467,3.01,3.102,2.592,2.547,2.439,1.863,3.227,1.876,1.876,2.317,2.824,2.64,2.813,2.825,1.879,2.288,2.136,2.281,2.375,2.383,2.211,1.962,2.302,2.508,2.389,2.749,2.344,2.897,2.201,1.816,2.246,2.284,2.266,2.168,2.592,2.604,2.776,2.5
